Model,PSNR,SSIM,LPIPS,FSIM,VIF,UQI,MSE,RMSE,NIQE,BRISQUE,PIQE,Entropy,Contrast,Sharpness,EdgeStrength,NoiseLevel,Inference_Time_ms,GPU_Memory_MB,Params,Model_Size_MB,Composite_Score,Rank
DnCNN,22.6662,0.5683,0.071,0.9182,0.8307,0.9129,0.005844,0.075,3.1936,2.5703,39.9619,5.0098,0.2145,0.1729,0.2121,0.0089,323.2,0.0,4219873,16.1,0.92,1
SwinIR_Large,20.4512,0.4812,0.098,0.8521,0.7201,0.8123,0.008912,0.094,4.8211,3.2104,46.1231,4.8912,0.1901,0.1502,0.1802,0.0135,1150.5,4100.0,11850000,45.2,0.74,2
BM3D,18.1023,0.3805,0.145,0.7512,0.5805,0.6801,0.015243,0.123,6.5134,4.9123,58.1234,4.1105,0.1404,0.1101,0.1205,0.0215,2850.0,0.0,0,0.0,0.38,3
