Model,Epochs Trained,Total Time (s),Best Val PSNR,Best Val Loss,Parameters,Model Size (MB)
DnCNN,20,10112.7,23.9186,0.105865,4219873,16.1
SwinIR,5,47.2,0.0,0.0,0,0.0
