PSNR,SSIM,MSE,RMSE,UQI,FSIM,GMSD,VIF,BRISQUE,NIQE,PIQE,LPIPS,Entropy_Before,Entropy_After,Contrast_Before,Contrast_After,Sharpness_Before,Sharpness_After,EdgeStrength_Before,EdgeStrength_After,NoiseLevel_Before,NoiseLevel_After,Model,Filename
22.073705037593044,0.8014252656060458,0.006203395780175924,0.07876163901402715,0.9477887749671936,0.9313175082206726,0.0001542416139272973,0.7966572046279907,3.5148017406463623,4.450180530548096,26.953022003173828,0.09466101229190826,7.205795132908367,7.305566161758095,0.20966285467147827,0.20988817512989044,0.24546745419502258,0.304653525352478,0.27755290269851685,0.34007298946380615,0.004874005448073149,0.0034462609328329563,DnCNN,Spine_SP19_S82213_eT2W_TSE_DRIVE_HR_20260225151424_602_i00026_preprocessed.npz
21.985894522020626,0.9129330932941436,0.006330099888145924,0.07956192486450993,0.875865638256073,0.8828225135803223,0.00018448266200721264,0.8333667516708374,2.7570605278015137,2.87896990776062,34.360198974609375,0.07198014110326767,4.046541747509302,5.465440369182287,0.1154857873916626,0.1653502732515335,0.09332646429538727,0.15883220732212067,0.13953757286071777,0.20522147417068481,0.0,0.00017407517589163035,DnCNN,Spine_SP15_S82041_MobiView_eT1W_TSE_20260306093302_405_preprocessed.npz
21.90965535298439,0.8126550748739243,0.006442204117774963,0.0802633423037875,0.9579408168792725,0.9506216049194336,0.00015279588114935905,0.6983922719955444,4.304063320159912,5.179091453552246,19.496501922607422,0.09719812870025635,7.368950582510617,7.418832094682898,0.23242522776126862,0.23613488674163818,0.3085733652114868,0.38371357321739197,0.3413982093334198,0.39984044432640076,0.004454547539353371,0.004596588667482138,DnCNN,Spine_SP3_S82021_eT2W_TSE_DRIVE_HR_20260303142846_602_i00024_preprocessed.npz
21.412549573420534,0.4798707323422432,0.0072234561666846275,0.08499091814237936,0.8662227392196655,0.9250258803367615,0.00018923099560197443,0.7504270672798157,3.406963586807251,3.4918391704559326,30.12136459350586,0.07669465243816376,4.46677713711529,4.881462663908827,0.16503453254699707,0.20213191211223602,0.1816374957561493,0.24848006665706635,0.19269368052482605,0.24811813235282898,0.164256751537323,7.459693733835593e-05,DnCNN,Spine_SP8_S82032_eT2W_TSE_20260304134706_304_preprocessed.npz
20.685123722210953,0.29567544984263927,0.008540584705770016,0.09241528394032025,0.9135904312133789,0.9540456533432007,8.548281766707078e-05,0.8386094570159912,2.003518581390381,2.8044283390045166,50.241783142089844,0.06531758606433868,2.8255823485468192,3.1567847508036952,0.1561039835214615,0.28340980410575867,0.09872619807720184,0.12533774971961975,0.1155427098274231,0.13873811066150665,0.2870078980922699,5.125380994286388e-05,DnCNN,Brain_BraTS20_Training_025_T1_preprocessed.npz
23.739997883179722,0.343808352619648,0.0042266882956027985,0.06501298559213227,0.9549036622047424,0.9390913844108582,0.00012386986054480076,0.8680813908576965,1.929458737373352,2.978039264678955,49.834041595458984,0.05517709255218506,3.1296307785884,3.5806612565404374,0.160564586520195,0.28737443685531616,0.08826866745948792,0.1278473436832428,0.12011212110519409,0.15411712229251862,0.27256399393081665,5.424729533842765e-05,DnCNN,Brain_BraTS20_Training_007_T1_preprocessed.npz
20.770425170382815,0.8400477664985657,0.00837447214871645,0.09151214208353146,0.9237732291221619,0.8690057992935181,0.0002628386137075722,0.9772840738296509,2.551246404647827,4.150219917297363,35.67137145996094,0.11063037067651749,7.021050844612137,7.433508580276342,0.17878426611423492,0.2130548059940338,0.12250911444425583,0.2193620204925537,0.20552586019039154,0.30849313735961914,0.010475555434823036,0.008965262211859226,DnCNN,Spine_SP2_S82020_eT1W_TSE_CLEAR_20260303133117_702_i00015_preprocessed.npz
24.086407651371147,0.3897399829658866,0.0039026467129588127,0.06247116705295982,0.9239534735679626,0.9263803362846375,0.0001404931681463495,0.8654004335403442,2.3981218338012695,2.75350284576416,44.424617767333984,0.05465545132756233,3.264251094961662,3.7565496274730155,0.16211168467998505,0.2115902453660965,0.10473746806383133,0.15433773398399353,0.12810960412025452,0.16955551505088806,0.1873716115951538,6.267822027439252e-05,DnCNN,Brain_BraTS20_Training_015_T2_preprocessed.npz
22.873825134633627,0.8915506744203567,0.005159617401659489,0.07183047683023891,0.9540110230445862,0.9190921187400818,0.00016444125503767282,0.9178448915481567,2.3682034015655518,4.064646244049072,36.504600524902344,0.08792376518249512,7.517538906567522,7.519432102860724,0.21369539201259613,0.2211753875017166,0.12060319632291794,0.18982407450675964,0.2262301743030548,0.2958747148513794,0.08031560480594635,0.07306664437055588,DnCNN,Spine_SP2_S82020_eT1W_TSE_CLEAR_20260303133117_702_i00004_preprocessed.npz
24.441099844966267,0.3597984715918899,0.0035965824499726295,0.059971513654172755,0.9266114830970764,0.9321718811988831,9.617129398975521e-05,0.796142041683197,2.0418426990509033,2.2474207878112793,48.74460983276367,0.04776468127965927,3.007653999728816,3.323652819199436,0.17720022797584534,0.2006218135356903,0.0676470547914505,0.09549403190612793,0.09892226755619049,0.12443149089813232,0.19266051054000854,6.572969869012013e-05,DnCNN,Brain_BraTS20_Training_006_FLAIR_preprocessed.npz
21.879248572117266,0.8346163725516796,0.006487466860562563,0.08054481274770314,0.9626195430755615,0.9414184093475342,0.00019990198779851198,0.6793911457061768,3.761767625808716,4.869046211242676,20.532106399536133,0.09968170523643494,7.502954804444933,7.5314857396762225,0.24924001097679138,0.2530565857887268,0.2039414644241333,0.29063957929611206,0.29814666509628296,0.3603751063346863,0.026097053661942482,0.021974800154566765,DnCNN,Spine_SP3_S82021_eT2W_TSE_DRIVE_HR_20260303142846_602_i00006_preprocessed.npz
