Modality,Volume_Count,Patients_With_Modality,Average_Intensity,Median_Intensity,Min_Intensity,Max_Intensity,Average_Contrast,Average_Entropy,Average_Sharpness,Average_Noise,Average_SNR,Average_Edge_Strength,Typical_Dimensions,Typical_Voxel_Spacing,Average_File_Size_MB
SPAIR,1,1,343.72,264.18,0.0,2588.94,0.7162,5.8904,0.001693,0.0,34372369.3848,0.155537,432 x 432 x 17,0.694 x 0.694 x 5.0 mm,2.99
STIR,13,7,445.45,362.2,0.0,3572.87,0.7153,6.1456,0.002787,0.0,44544744.1688,0.117713,432 x 432 x 15,0.865 x 0.865 x 4.4 mm,2.87
Survey,2,2,520.26,298.14,0.0,2771.27,0.7917,4.9676,0.002164,0.0,52026528.9306,0.090684,528 x 1017 x 5,0.758 x 0.758 x 8.997 mm,2.09
T1W,76,10,709.55,617.62,0.0,4559.28,0.6286,6.9616,0.005476,12.2166,57992524.4829,0.207618,224 x 224 x 3,0.714 x 0.714 x 4.4 mm,0.99
T1W_GADO,6,1,372.77,339.42,0.0,7171.26,0.6954,5.7188,0.004155,0.0,37276510.8744,0.140263,224 x 224 x 20,0.893 x 0.893 x 4.4 mm,1.02
T2W,88,10,640.34,549.87,0.0,4252.8,0.7687,6.9053,0.008701,0.0,64034059.0737,0.224974,288 x 288 x 5,0.556 x 0.556 x 4.4 mm,1.23
