Patient_ID,Modality_Category,File_Name,File_Path,File_Size_MB,Width,Height,Depth,Spacing_X,Spacing_Y,Spacing_Z,Voxel_Volume_mm3,Data_Type,Orientation,QForm_Code,SForm_Code,Affine_Matrix,Min_Intensity,Max_Intensity,Mean_Intensity,Median_Intensity,Std_Intensity,Variance,Dynamic_Range,Contrast,Entropy,Sharpness,Edge_Strength,Noise_Estimate,SNR,FG_BG_Ratio,FG_Voxel_Count,BG_Voxel_Count
SP15,T2W,S82041_eT2W_TSE_20260306093302_304.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP15\S82041_eT2W_TSE_20260306093302_304.nii.gz,2.538,512,512,15,0.726,0.726,4.4,2.318,int16,PSR,1,1,"[[-0.0, 0.02, 4.4, -43.79], [-0.73, -0.0, -0.02, 141.28], [0.0, 0.73, -0.13, -591.76], [0.0, 0.0, 0.0, 1.0]]",0.0,2526.31,552.14,494.8,380.66,144903.72,2526.31,0.6894,7.0765,0.002036,0.113726,0.0,55214300.5371,55214300.5371,1888541,2043619
SP17,T2W,S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00001.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00001.nii.gz,0.616,336,336,5,0.595,0.595,4.4,1.559,int16,LAS,1,1,"[[-0.6, -0.01, -0.06, 91.97], [-0.01, 0.55, 1.61, -141.55], [-0.01, -0.22, 4.09, -409.04], [0.0, 0.0, 0.0, 1.0]]",0.0,3292.86,806.99,831.57,532.93,284018.62,3292.86,0.6604,6.9254,0.008239,0.220618,0.0,80699291.9922,80699291.9922,560322,4158
SP17,T2W,S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00006.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00006.nii.gz,0.606,336,336,5,0.595,0.595,4.4,1.559,int16,LAS,1,1,"[[-0.6, -0.01, -0.06, 91.86], [-0.01, 0.58, 1.02, -137.05], [-0.01, -0.14, 4.28, -396.71], [0.0, 0.0, 0.0, 1.0]]",0.0,2933.49,760.17,781.43,554.32,307270.44,2933.49,0.7292,6.861,0.010487,0.224207,0.0,76017089.8438,76017089.8438,560134,4346
SP17,T2W,S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00011.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00011.nii.gz,0.364,336,336,3,0.595,0.595,4.4,1.559,int16,LAS,1,1,"[[-0.6, -0.01, -0.06, 91.64], [-0.01, 0.59, 0.15, -135.55], [-0.01, -0.02, 4.4, -383.41], [0.0, 0.0, 0.0, 1.0]]",0.0,2549.04,737.3,651.89,566.01,320367.53,2549.04,0.7677,7.0395,0.013164,0.248598,0.0,73730377.1973,73730377.1973,335181,3507
SP17,T2W,S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00014.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00014.nii.gz,0.359,336,336,3,0.595,0.595,4.4,1.559,int16,LAS,1,1,"[[-0.6, -0.0, -0.06, 91.63], [-0.0, 0.59, -0.38, -138.64], [-0.01, 0.05, 4.38, -364.03], [0.0, 0.0, 0.0, 1.0]]",0.0,2523.97,722.91,630.99,567.7,322288.81,2523.97,0.7853,7.139,0.013946,0.263821,0.0,72291125.4883,72291125.4883,328294,10394
SP17,T2W,S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00017.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_DRIVE_HR_20260221100326_602_i00017.nii.gz,0.702,336,336,6,0.595,0.595,4.4,1.559,int16,LAS,1,1,"[[-0.6, -0.0, -0.06, 91.65], [-0.0, 0.59, -0.78, -141.61], [-0.01, 0.11, 4.33, -342.22], [0.0, 0.0, 0.0, 1.0]]",0.0,2461.29,623.81,585.03,476.46,227017.19,2461.29,0.7638,7.1083,0.013569,0.276164,0.0,62381408.6914,62381408.6914,650467,26909
SP17,T1W_GADO,S82170_T1W_TSE_GADO_POST_20260221100326_901_i00001.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_T1W_TSE_GADO_POST_20260221100326_901_i00001.nii.gz,1.051,224,224,20,0.893,0.893,4.4,3.508,int16,LAS,1,1,"[[-0.89, -0.01, -0.06, 96.03], [-0.01, 0.88, 0.66, -146.85], [-0.01, -0.13, 4.35, -443.2], [0.0, 0.0, 0.0, 1.0]]",0.0,4907.13,281.35,271.52,209.7,43974.83,4907.13,0.7453,5.0777,0.003713,0.135586,0.0,28135403.4424,28135403.4424,987624,15896
SP12,T2W,S82031_SC_MobiView_eT2W_TSE_20260305090906_305.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP12\S82031_SC_MobiView_eT2W_TSE_20260305090906_305.nii.gz,4.029,512,970,12,0.726,0.726,4.4,2.318,int16,PSR,1,1,"[[-0.0, 0.0, 4.4, -28.26], [-0.73, 0.0, -0.0, 147.59], [0.0, 0.73, -0.02, -617.49], [0.0, 0.0, 0.0, 1.0]]",0.0,3119.08,581.38,260.44,504.57,254590.83,3119.08,0.8679,4.3352,0.003655,0.103896,0.0,58137500.0,58137500.0,5951652,8028
SP17,T2W,S82170_eT2W_TSE_20260221100326_303.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT2W_TSE_20260221100326_303.nii.gz,2.427,512,512,15,0.726,0.726,4.4,2.318,int16,PSR,1,1,"[[-0.0, 0.01, 4.4, -37.36], [-0.73, -0.0, -0.0, 136.91], [0.0, 0.73, -0.07, -237.03], [0.0, 0.0, 0.0, 1.0]]",0.0,2394.65,448.66,317.96,436.26,190320.88,2394.65,0.9724,6.8347,0.00265,0.125237,0.0,44865695.1904,44865695.1904,1807795,2124365
SP17,T1W,S82170_eT1W_TSE_20260221100326_404.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Pathological Spine MRI Datasets\SP17\S82170_eT1W_TSE_20260221100326_404.nii.gz,3.091,560,560,15,0.672,0.672,4.4,1.985,int16,PSR,1,1,"[[-0.0, 0.0, 4.4, -39.59], [-0.67, 0.0, -0.0, 139.18], [0.0, 0.67, -0.03, -574.65], [0.0, 0.0, 0.0, 1.0]]",0.0,4559.28,592.76,522.34,403.75,163018.03,4559.28,0.6811,6.2389,0.001163,0.100076,0.0,59275695.8008,59275695.8008,2236198,2467802
